i,qV(1)/qC(0),Run 1 of 10,qV(1)/qC(0),Run 2 of 10,qV(1)/qC(0),Run 3 of 10,qV(1)/qC(0),Run 4 of 10,qV(1)/qC(0),Run 5 of 10,qV(1)/qC(0),Run 6 of 10,qV(1)/qC(0),Run 7 of 10,qV(1)/qC(0),Run 8 of 10,qV(1)/qC(0),Run 9 of 10,qV(1)/qC(0),Run 10 of 10
231,1,"Question{QuestionVoter{voter=Voter{9}, a=15, b=2}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{1}, a=14, b=1}}",1,"Question{QuestionVoter{voter=Voter{9}, a=15, b=14}}",1,"Question{QuestionVoter{voter=Voter{29}, a=8, b=9}}",1,"Question{QuestionVoter{voter=Voter{27}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{26}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=13}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=15}}"
232,1,"Question{QuestionVoter{voter=Voter{2}, a=12, b=2}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{1}, a=4, b=2}}",1,"Question{QuestionVoter{voter=Voter{1}, a=15, b=14}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{12}, a=15, b=12}}",1,"Question{QuestionVoter{voter=Voter{28}, a=2, b=8}}",1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=11}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=13}}",1,"Question{QuestionVoter{voter=Voter{30}, a=6, b=13}}"
233,1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{5}, a=14, b=8}}",1,"Question{QuestionVoter{voter=Voter{27}, a=15, b=2}}",1,"Question{QuestionVoter{voter=Voter{21}, a=8, b=10}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=8}}",1,"Question{QuestionVoter{voter=Voter{28}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=12}}",1,"Question{QuestionVoter{voter=Voter{27}, a=8, b=13}}"
234,0,"Question{QuestionCommittee{λ=31/2, rank=7}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{22}, a=14, b=9}}",1,"Question{QuestionVoter{voter=Voter{22}, a=15, b=1}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=12}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=11}}",1,"Question{QuestionVoter{voter=Voter{1}, a=6, b=12}}",1,"Question{QuestionVoter{voter=Voter{20}, a=8, b=13}}"
235,1,"Question{QuestionVoter{voter=Voter{17}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{7}, a=2, b=9}}",1,"Question{QuestionVoter{voter=Voter{19}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{9}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{10}, a=2, b=8}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=11}}",1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=11}}",1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=10}}"
236,1,"Question{QuestionVoter{voter=Voter{1}, a=15, b=4}}",0,"Question{QuestionCommittee{λ=33/4, rank=6}}",1,"Question{QuestionVoter{voter=Voter{1}, a=14, b=9}}",1,"Question{QuestionVoter{voter=Voter{13}, a=15, b=10}}",1,"Question{QuestionVoter{voter=Voter{13}, a=8, b=2}}",1,"Question{QuestionVoter{voter=Voter{26}, a=7, b=8}}",1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=12}}",1,"Question{QuestionVoter{voter=Voter{4}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{21}, a=5, b=9}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=10}}"
237,1,"Question{QuestionVoter{voter=Voter{8}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{10}, a=6, b=7}}",1,"Question{QuestionVoter{voter=Voter{10}, a=14, b=11}}",1,"Question{QuestionVoter{voter=Voter{9}, a=15, b=10}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=15}}",1,"Question{QuestionVoter{voter=Voter{4}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{5}, a=4, b=14}}",1,"Question{QuestionVoter{voter=Voter{1}, a=3, b=11}}",1,"Question{QuestionVoter{voter=Voter{16}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=10}}"
238,1,"Question{QuestionVoter{voter=Voter{12}, a=15, b=1}}",1,"Question{QuestionVoter{voter=Voter{28}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{15}, a=14, b=11}}",1,"Question{QuestionVoter{voter=Voter{17}, a=2, b=11}}",0,"Question{QuestionCommittee{λ=31/2, rank=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=15, b=3}}",1,"Question{QuestionVoter{voter=Voter{28}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{19}, a=6, b=13}}",1,"Question{QuestionVoter{voter=Voter{30}, a=8, b=9}}"
239,1,"Question{QuestionVoter{voter=Voter{2}, a=13, b=2}}",1,"Question{QuestionVoter{voter=Voter{21}, a=11, b=7}}",1,"Question{QuestionVoter{voter=Voter{19}, a=2, b=11}}",1,"Question{QuestionVoter{voter=Voter{1}, a=15, b=11}}",1,"Question{QuestionVoter{voter=Voter{19}, a=8, b=15}}",1,"Question{QuestionVoter{voter=Voter{30}, a=15, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{4}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{7}, a=6, b=1}}",1,"Question{QuestionVoter{voter=Voter{15}, a=2, b=9}}"
240,1,"Question{QuestionVoter{voter=Voter{15}, a=15, b=2}}",1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{10}, a=4, b=11}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=8, b=11}}",1,"Question{QuestionVoter{voter=Voter{13}, a=15, b=1}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{21}, a=5, b=13}}",1,"Question{QuestionVoter{voter=Voter{28}, a=8, b=15}}"
241,1,"Question{QuestionVoter{voter=Voter{16}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{14}, a=3, b=12}}",1,"Question{QuestionVoter{voter=Voter{3}, a=14, b=5}}",1,"Question{QuestionVoter{voter=Voter{17}, a=8, b=7}}",1,"Question{QuestionVoter{voter=Voter{6}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{25}, a=6, b=13}}",1,"Question{QuestionVoter{voter=Voter{28}, a=8, b=9}}"
242,1,"Question{QuestionVoter{voter=Voter{22}, a=7, b=6}}",1,"Question{QuestionVoter{voter=Voter{29}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{22}, a=14, b=12}}",1,"Question{QuestionVoter{voter=Voter{11}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{18}, a=8, b=14}}",1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{2}, a=4, b=15}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{14}, a=6, b=14}}",1,"Question{QuestionVoter{voter=Voter{7}, a=8, b=10}}"
243,1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{4}, a=14, b=15}}",1,"Question{QuestionVoter{voter=Voter{12}, a=15, b=12}}",1,"Question{QuestionVoter{voter=Voter{18}, a=8, b=3}}",1,"Question{QuestionVoter{voter=Voter{25}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{9}, a=2, b=3}}",1,"Question{QuestionVoter{voter=Voter{2}, a=2, b=7}}",1,"Question{QuestionVoter{voter=Voter{20}, a=3, b=4}}",1,"Question{QuestionVoter{voter=Voter{26}, a=8, b=14}}"
244,1,"Question{QuestionVoter{voter=Voter{26}, a=3, b=6}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{29}, a=14, b=15}}",1,"Question{QuestionVoter{voter=Voter{17}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{1}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{2}, a=9, b=7}}",1,"Question{QuestionVoter{voter=Voter{12}, a=6, b=3}}",1,"Question{QuestionVoter{voter=Voter{18}, a=8, b=11}}"
245,1,"Question{QuestionVoter{voter=Voter{22}, a=15, b=1}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{27}, a=14, b=1}}",1,"Question{QuestionVoter{voter=Voter{27}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{26}, a=15, b=1}}",1,"Question{QuestionVoter{voter=Voter{7}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{3}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{28}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{2}, a=8, b=11}}"
246,1,"Question{QuestionVoter{voter=Voter{12}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{20}, a=14, b=11}}",1,"Question{QuestionVoter{voter=Voter{22}, a=15, b=13}}",1,"Question{QuestionVoter{voter=Voter{19}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{23}, a=4, b=6}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{10}, a=9, b=5}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=11}}"
247,1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{21}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=14, b=5}}",1,"Question{QuestionVoter{voter=Voter{4}, a=15, b=13}}",1,"Question{QuestionVoter{voter=Voter{30}, a=4, b=2}}",1,"Question{QuestionVoter{voter=Voter{19}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{6}, a=6, b=4}}",0,"Question{QuestionCommittee{λ=33/4, rank=5}}"
248,1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=6}}",1,"Question{QuestionVoter{voter=Voter{10}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{16}, a=14, b=5}}",1,"Question{QuestionVoter{voter=Voter{28}, a=15, b=13}}",1,"Question{QuestionVoter{voter=Voter{12}, a=8, b=13}}",1,"Question{QuestionVoter{voter=Voter{19}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{14}, a=2, b=7}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{10}, a=11, b=5}}",1,"Question{QuestionVoter{voter=Voter{27}, a=2, b=11}}"
249,1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{24}, a=4, b=11}}",1,"Question{QuestionVoter{voter=Voter{10}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{26}, a=15, b=13}}",1,"Question{QuestionVoter{voter=Voter{10}, a=8, b=13}}",1,"Question{QuestionVoter{voter=Voter{27}, a=10, b=5}}",1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{13}, a=2, b=12}}",1,"Question{QuestionVoter{voter=Voter{30}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{27}, a=3, b=11}}"
250,1,"Question{QuestionVoter{voter=Voter{4}, a=15, b=11}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{1}, a=6, b=2}}",1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=13}}",1,"Question{QuestionVoter{voter=Voter{19}, a=4, b=13}}",1,"Question{QuestionVoter{voter=Voter{21}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{15}, a=14, b=7}}",1,"Question{QuestionVoter{voter=Voter{26}, a=2, b=12}}",1,"Question{QuestionVoter{voter=Voter{1}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{30}, a=10, b=6}}"
251,1,"Question{QuestionVoter{voter=Voter{4}, a=2, b=6}}",1,"Question{QuestionVoter{voter=Voter{30}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{2}, a=14, b=4}}",1,"Question{QuestionVoter{voter=Voter{11}, a=15, b=3}}",1,"Question{QuestionVoter{voter=Voter{23}, a=2, b=13}}",1,"Question{QuestionVoter{voter=Voter{25}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{26}, a=3, b=7}}",1,"Question{QuestionVoter{voter=Voter{13}, a=4, b=12}}",1,"Question{QuestionVoter{voter=Voter{24}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{23}, a=8, b=6}}"
252,1,"Question{QuestionVoter{voter=Voter{29}, a=2, b=6}}",1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=13}}",1,"Question{QuestionVoter{voter=Voter{23}, a=14, b=6}}",1,"Question{QuestionVoter{voter=Voter{14}, a=15, b=3}}",1,"Question{QuestionVoter{voter=Voter{28}, a=8, b=13}}",1,"Question{QuestionVoter{voter=Voter{11}, a=14, b=10}}",1,"Question{QuestionVoter{voter=Voter{9}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{13}, a=5, b=12}}",1,"Question{QuestionVoter{voter=Voter{10}, a=13, b=5}}",1,"Question{QuestionVoter{voter=Voter{20}, a=8, b=6}}"
253,1,"Question{QuestionVoter{voter=Voter{8}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{10}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{11}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=3, b=8}}",1,"Question{QuestionVoter{voter=Voter{7}, a=2, b=13}}",1,"Question{QuestionVoter{voter=Voter{27}, a=15, b=1}}",1,"Question{QuestionVoter{voter=Voter{27}, a=5, b=11}}",1,"Question{QuestionVoter{voter=Voter{12}, a=2, b=12}}",1,"Question{QuestionVoter{voter=Voter{7}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=8, b=11}}"
254,1,"Question{QuestionVoter{voter=Voter{24}, a=15, b=14}}",1,"Question{QuestionVoter{voter=Voter{18}, a=4, b=13}}",1,"Question{QuestionVoter{voter=Voter{4}, a=14, b=5}}",1,"Question{QuestionVoter{voter=Voter{21}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{6}, a=3, b=13}}",1,"Question{QuestionVoter{voter=Voter{21}, a=15, b=10}}",1,"Question{QuestionVoter{voter=Voter{9}, a=8, b=11}}",1,"Question{QuestionVoter{voter=Voter{13}, a=8, b=12}}",1,"Question{QuestionVoter{voter=Voter{17}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{21}, a=8, b=2}}"
255,1,"Question{QuestionVoter{voter=Voter{9}, a=15, b=10}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{6}, a=8, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{7}, a=9, b=13}}",1,"Question{QuestionVoter{voter=Voter{17}, a=15, b=10}}",1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=9}}",0,"Question{QuestionCommittee{λ=33/4, rank=6}}",1,"Question{QuestionVoter{voter=Voter{29}, a=8, b=7}}"
256,1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=15}}",1,"Question{QuestionVoter{voter=Voter{21}, a=14, b=2}}",1,"Question{QuestionVoter{voter=Voter{20}, a=2, b=8}}",1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=2}}",1,"Question{QuestionVoter{voter=Voter{23}, a=15, b=5}}",1,"Question{QuestionVoter{voter=Voter{26}, a=3, b=11}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{29}, a=4, b=5}}"
257,1,"Question{QuestionVoter{voter=Voter{25}, a=4, b=10}}",1,"Question{QuestionVoter{voter=Voter{5}, a=4, b=11}}",1,"Question{QuestionVoter{voter=Voter{26}, a=14, b=6}}",1,"Question{QuestionVoter{voter=Voter{28}, a=15, b=8}}",1,"Question{QuestionVoter{voter=Voter{23}, a=3, b=12}}",1,"Question{QuestionVoter{voter=Voter{22}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=11}}",0,"Question{QuestionCommittee{λ=31/2, rank=6}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=5}}",0,"Question{QuestionCommittee{λ=37/8, rank=6}}"
258,1,"Question{QuestionVoter{voter=Voter{3}, a=15, b=2}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{12}, a=3, b=7}}",1,"Question{QuestionVoter{voter=Voter{14}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=12}}",1,"Question{QuestionVoter{voter=Voter{14}, a=2, b=7}}",1,"Question{QuestionVoter{voter=Voter{6}, a=9, b=11}}",1,"Question{QuestionVoter{voter=Voter{13}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{26}, a=6, b=5}}",0,"Question{QuestionCommittee{λ=45/16, rank=6}}"
259,1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=10}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{13}, a=15, b=14}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{5}, a=5, b=7}}",1,"Question{QuestionVoter{voter=Voter{29}, a=1, b=15}}",1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{29}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{2}, a=4, b=5}}"
260,1,"Question{QuestionVoter{voter=Voter{28}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=2}}",1,"Question{QuestionVoter{voter=Voter{7}, a=14, b=7}}",1,"Question{QuestionVoter{voter=Voter{16}, a=15, b=14}}",1,"Question{QuestionVoter{voter=Voter{28}, a=8, b=12}}",1,"Question{QuestionVoter{voter=Voter{9}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{21}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{19}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{23}, a=8, b=5}}"
261,1,"Question{QuestionVoter{voter=Voter{10}, a=2, b=9}}",1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=14}}",1,"Question{QuestionVoter{voter=Voter{10}, a=4, b=13}}",1,"Question{QuestionVoter{voter=Voter{27}, a=2, b=14}}",1,"Question{QuestionVoter{voter=Voter{2}, a=3, b=12}}",1,"Question{QuestionVoter{voter=Voter{4}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{9}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{1}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{9}, a=9, b=3}}",1,"Question{QuestionVoter{voter=Voter{24}, a=3, b=5}}"
262,1,"Question{QuestionVoter{voter=Voter{30}, a=4, b=9}}",1,"Question{QuestionVoter{voter=Voter{30}, a=13, b=12}}",1,"Question{QuestionVoter{voter=Voter{24}, a=6, b=13}}",1,"Question{QuestionVoter{voter=Voter{17}, a=15, b=14}}",1,"Question{QuestionVoter{voter=Voter{2}, a=8, b=4}}",1,"Question{QuestionVoter{voter=Voter{27}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{20}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{15}, a=6, b=3}}",1,"Question{QuestionVoter{voter=Voter{8}, a=8, b=5}}"
263,1,"Question{QuestionVoter{voter=Voter{10}, a=15, b=4}}",1,"Question{QuestionVoter{voter=Voter{23}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{1}, a=14, b=5}}",1,"Question{QuestionVoter{voter=Voter{9}, a=15, b=2}}",1,"Question{QuestionVoter{voter=Voter{3}, a=5, b=12}}",1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{11}, a=6, b=5}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{15}, a=3, b=10}}",1,"Question{QuestionVoter{voter=Voter{27}, a=8, b=12}}"
264,1,"Question{QuestionVoter{voter=Voter{17}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{14}, a=2, b=4}}",1,"Question{QuestionVoter{voter=Voter{23}, a=14, b=13}}",1,"Question{QuestionVoter{voter=Voter{24}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{5}, a=11, b=13}}",1,"Question{QuestionVoter{voter=Voter{20}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{23}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{17}, a=2, b=13}}",1,"Question{QuestionVoter{voter=Voter{29}, a=6, b=10}}",1,"Question{QuestionVoter{voter=Voter{20}, a=8, b=12}}"
265,1,"Question{QuestionVoter{voter=Voter{3}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{22}, a=1, b=4}}",1,"Question{QuestionVoter{voter=Voter{5}, a=14, b=10}}",1,"Question{QuestionVoter{voter=Voter{28}, a=4, b=6}}",1,"Question{QuestionVoter{voter=Voter{26}, a=8, b=12}}",1,"Question{QuestionVoter{voter=Voter{29}, a=6, b=9}}",1,"Question{QuestionVoter{voter=Voter{16}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{24}, a=1, b=10}}",1,"Question{QuestionVoter{voter=Voter{10}, a=12, b=2}}",1,"Question{QuestionVoter{voter=Voter{16}, a=8, b=13}}"
266,1,"Question{QuestionVoter{voter=Voter{19}, a=3, b=9}}",1,"Question{QuestionVoter{voter=Voter{2}, a=9, b=2}}",1,"Question{QuestionVoter{voter=Voter{30}, a=14, b=3}}",1,"Question{QuestionVoter{voter=Voter{8}, a=5, b=6}}",1,"Question{QuestionVoter{voter=Voter{7}, a=8, b=1}}",1,"Question{QuestionVoter{voter=Voter{3}, a=12, b=9}}",1,"Question{QuestionVoter{voter=Voter{9}, a=7, b=5}}",1,"Question{QuestionVoter{voter=Voter{12}, a=6, b=15}}",1,"Question{QuestionVoter{voter=Voter{20}, a=6, b=2}}",1,"Question{QuestionVoter{voter=Voter{7}, a=8, b=15}}"
267,1,"Question{QuestionVoter{voter=Voter{18}, a=2, b=9}}",1,"Question{QuestionVoter{voter=Voter{25}, a=1, b=5}}",1,"Question{QuestionVoter{voter=Voter{30}, a=2, b=3}}",1,"Question{QuestionVoter{voter=Voter{23}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{21}, a=8, b=13}}",1,"Question{QuestionVoter{voter=Voter{4}, a=3, b=14}}",1,"Question{QuestionVoter{voter=Voter{18}, a=3, b=5}}",1,"Question{QuestionVoter{voter=Voter{19}, a=3, b=14}}",1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=15}}",1,"Question{QuestionVoter{voter=Voter{27}, a=8, b=14}}"
268,1,"Question{QuestionVoter{voter=Voter{17}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{6}, a=6, b=3}}",1,"Question{QuestionVoter{voter=Voter{22}, a=15, b=6}}",1,"Question{QuestionVoter{voter=Voter{26}, a=3, b=10}}",1,"Question{QuestionVoter{voter=Voter{4}, a=4, b=14}}",1,"Question{QuestionVoter{voter=Voter{6}, a=4, b=5}}",1,"Question{QuestionVoter{voter=Voter{6}, a=1, b=15}}",1,"Question{QuestionVoter{voter=Voter{4}, a=6, b=15}}",1,"Question{QuestionVoter{voter=Voter{25}, a=1, b=14}}"
269,1,"Question{QuestionVoter{voter=Voter{10}, a=4, b=9}}",1,"Question{QuestionVoter{voter=Voter{30}, a=1, b=3}}",1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=3}}",1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=7}}",1,"Question{QuestionVoter{voter=Voter{3}, a=8, b=10}}",0,"Question{QuestionCommittee{λ=45/16, rank=7}}",1,"Question{QuestionVoter{voter=Voter{22}, a=5, b=11}}",1,"Question{QuestionVoter{voter=Voter{25}, a=2, b=13}}",1,"Question{QuestionVoter{voter=Voter{26}, a=6, b=15}}",1,"Question{QuestionVoter{voter=Voter{7}, a=8, b=9}}"
270,1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=9}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=12}}",1,"Question{QuestionVoter{voter=Voter{10}, a=14, b=8}}",1,"Question{QuestionVoter{voter=Voter{15}, a=15, b=7}}",1,"Question{QuestionVoter{voter=Voter{4}, a=8, b=6}}",1,"Question{QuestionVoter{voter=Voter{24}, a=15, b=9}}",1,"Question{QuestionVoter{voter=Voter{23}, a=1, b=11}}",1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=13}}",1,"Question{QuestionVoter{voter=Voter{17}, a=6, b=15}}",1,"Question{QuestionVoter{voter=Voter{17}, a=8, b=9}}"
