i,qV(1)/qC(0),Run 1 of 1
393,1,"Question{QuestionVoter{voter=Voter{18}, a=3, b=9}}"
394,1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=4}}"
395,1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=4}}"
396,1,"Question{QuestionVoter{voter=Voter{18}, a=8, b=4}}"
397,1,"Question{QuestionVoter{voter=Voter{9}, a=3, b=9}}"
398,1,"Question{QuestionVoter{voter=Voter{7}, a=7, b=4}}"
399,1,"Question{QuestionVoter{voter=Voter{15}, a=1, b=4}}"
400,1,"Question{QuestionVoter{voter=Voter{9}, a=9, b=4}}"
401,1,"Question{QuestionVoter{voter=Voter{20}, a=8, b=4}}"
402,1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=7}}"
403,1,"Question{QuestionVoter{voter=Voter{8}, a=3, b=7}}"
404,1,"Question{QuestionVoter{voter=Voter{11}, a=4, b=2}}"
405,1,"Question{QuestionVoter{voter=Voter{4}, a=4, b=2}}"
406,1,"Question{QuestionVoter{voter=Voter{18}, a=1, b=2}}"
407,1,"Question{QuestionVoter{voter=Voter{5}, a=3, b=7}}"
408,1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=2}}"
409,1,"Question{QuestionVoter{voter=Voter{14}, a=3, b=2}}"
410,1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=4}}"
411,1,"Question{QuestionVoter{voter=Voter{4}, a=3, b=5}}"
412,1,"Question{QuestionVoter{voter=Voter{10}, a=3, b=4}}"
413,1,"Question{QuestionVoter{voter=Voter{5}, a=3, b=8}}"
414,1,"Question{QuestionVoter{voter=Voter{5}, a=2, b=8}}"
415,1,"Question{QuestionVoter{voter=Voter{6}, a=2, b=6}}"
416,1,"Question{QuestionVoter{voter=Voter{6}, a=6, b=5}}"
417,1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=10}}"
418,1,"Question{QuestionVoter{voter=Voter{19}, a=6, b=9}}"
419,1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=10}}"
420,1,"Question{QuestionVoter{voter=Voter{7}, a=6, b=10}}"
421,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=8}}"
422,1,"Question{QuestionVoter{voter=Voter{14}, a=1, b=8}}"
423,1,"Question{QuestionVoter{voter=Voter{2}, a=1, b=8}}"
424,1,"Question{QuestionVoter{voter=Voter{11}, a=6, b=7}}"
425,1,"Question{QuestionVoter{voter=Voter{11}, a=7, b=4}}"
426,1,"Question{QuestionVoter{voter=Voter{4}, a=2, b=7}}"
427,1,"Question{QuestionVoter{voter=Voter{11}, a=6, b=8}}"
428,1,"Question{QuestionVoter{voter=Voter{11}, a=6, b=10}}"
429,1,"Question{QuestionVoter{voter=Voter{18}, a=6, b=1}}"
430,1,"Question{QuestionVoter{voter=Voter{5}, a=6, b=4}}"
431,1,"Question{QuestionVoter{voter=Voter{17}, a=6, b=9}}"
432,1,"Question{QuestionVoter{voter=Voter{13}, a=6, b=5}}"
433,1,"Question{QuestionVoter{voter=Voter{9}, a=6, b=10}}"
434,1,"Question{QuestionVoter{voter=Voter{6}, a=6, b=4}}"
435,1,"Question{QuestionVoter{voter=Voter{15}, a=4, b=7}}"
436,1,"Question{QuestionVoter{voter=Voter{16}, a=6, b=10}}"
437,1,"Question{QuestionVoter{voter=Voter{14}, a=2, b=10}}"
438,1,"Question{QuestionVoter{voter=Voter{7}, a=2, b=10}}"
439,1,"Question{QuestionVoter{voter=Voter{2}, a=6, b=10}}"
440,1,"Question{QuestionVoter{voter=Voter{3}, a=6, b=7}}"
441,1,"Question{QuestionVoter{voter=Voter{4}, a=6, b=5}}"
442,1,"Question{QuestionVoter{voter=Voter{1}, a=6, b=4}}"
443,1,"Question{QuestionVoter{voter=Voter{19}, a=5, b=7}}"
444,1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=7}}"
445,1,"Question{QuestionVoter{voter=Voter{8}, a=1, b=7}}"
446,1,"Question{QuestionVoter{voter=Voter{8}, a=2, b=7}}"
447,1,"Question{QuestionVoter{voter=Voter{14}, a=2, b=7}}"
448,1,"Question{QuestionVoter{voter=Voter{17}, a=8, b=9}}"
449,1,"Question{QuestionVoter{voter=Voter{17}, a=6, b=10}}"
450,1,"Question{QuestionVoter{voter=Voter{10}, a=6, b=9}}"
451,1,"Question{QuestionVoter{voter=Voter{1}, a=2, b=4}}"
452,1,"Question{QuestionVoter{voter=Voter{13}, a=8, b=7}}"
453,1,"Question{QuestionVoter{voter=Voter{3}, a=6, b=4}}"
454,1,"Question{QuestionVoter{voter=Voter{5}, a=6, b=9}}"
455,1,"Question{QuestionVoter{voter=Voter{15}, a=6, b=9}}"
456,1,"Question{QuestionVoter{voter=Voter{9}, a=10, b=7}}"
457,1,"Question{QuestionVoter{voter=Voter{11}, a=2, b=7}}"
458,1,"Question{QuestionVoter{voter=Voter{14}, a=2, b=4}}"
459,1,"Question{QuestionVoter{voter=Voter{7}, a=6, b=8}}"
460,1,"Question{QuestionVoter{voter=Voter{11}, a=10, b=4}}"
461,1,"Question{QuestionVoter{voter=Voter{5}, a=1, b=7}}"
462,1,"Question{QuestionVoter{voter=Voter{2}, a=9, b=7}}"
463,1,"Question{QuestionVoter{voter=Voter{13}, a=6, b=1}}"
464,1,"Question{QuestionVoter{voter=Voter{5}, a=6, b=10}}"
465,1,"Question{QuestionVoter{voter=Voter{15}, a=8, b=2}}"
466,1,"Question{QuestionVoter{voter=Voter{8}, a=4, b=2}}"
467,1,"Question{QuestionVoter{voter=Voter{12}, a=6, b=5}}"
468,1,"Question{QuestionVoter{voter=Voter{18}, a=10, b=4}}"
469,1,"Question{QuestionVoter{voter=Voter{12}, a=1, b=2}}"
470,1,"Question{QuestionVoter{voter=Voter{13}, a=6, b=2}}"
471,1,"Question{QuestionVoter{voter=Voter{5}, a=9, b=2}}"
472,1,"Question{QuestionVoter{voter=Voter{16}, a=6, b=2}}"
473,1,"Question{QuestionVoter{voter=Voter{3}, a=6, b=2}}"
474,1,"Question{QuestionVoter{voter=Voter{13}, a=4, b=2}}"
475,1,"Question{QuestionVoter{voter=Voter{5}, a=10, b=2}}"
476,1,"Question{QuestionVoter{voter=Voter{13}, a=7, b=2}}"
477,1,"Question{QuestionVoter{voter=Voter{3}, a=6, b=1}}"
478,1,"Question{QuestionVoter{voter=Voter{8}, a=8, b=2}}"
479,1,"Question{QuestionVoter{voter=Voter{6}, a=4, b=2}}"
480,1,"Question{QuestionVoter{voter=Voter{20}, a=6, b=8}}"
481,1,"Question{QuestionVoter{voter=Voter{20}, a=6, b=9}}"
482,1,"Question{QuestionVoter{voter=Voter{10}, a=6, b=4}}"
483,1,"Question{QuestionVoter{voter=Voter{13}, a=8, b=2}}"
484,1,"Question{QuestionVoter{voter=Voter{1}, a=5, b=2}}"
485,1,"Question{QuestionVoter{voter=Voter{12}, a=5, b=2}}"
486,1,"Question{QuestionVoter{voter=Voter{7}, a=6, b=7}}"
487,1,"Question{QuestionVoter{voter=Voter{8}, a=9, b=2}}"
488,1,"Question{QuestionVoter{voter=Voter{2}, a=10, b=7}}"
489,1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=2}}"
490,1,"Question{QuestionVoter{voter=Voter{15}, a=9, b=2}}"
491,1,"Question{QuestionVoter{voter=Voter{12}, a=10, b=2}}"
492,1,"Question{QuestionVoter{voter=Voter{8}, a=6, b=5}}"
493,1,"Question{QuestionVoter{voter=Voter{15}, a=6, b=10}}"
494,1,"Question{QuestionVoter{voter=Voter{6}, a=5, b=7}}"
495,1,"Question{QuestionVoter{voter=Voter{11}, a=10, b=7}}"
496,1,"Question{QuestionVoter{voter=Voter{6}, a=6, b=9}}"
497,1,"Question{QuestionVoter{voter=Voter{7}, a=6, b=9}}"
498,1,"Question{QuestionVoter{voter=Voter{1}, a=6, b=8}}"
499,1,"Question{QuestionVoter{voter=Voter{20}, a=9, b=2}}"
500,1,"Question{QuestionVoter{voter=Voter{10}, a=4, b=2}}"
